locale,file,url,destination,nationality,indexable,canonical,word_count_main,unique_content_ratio,similarity_to_same_destination_pages,historical_clicks,historical_impressions,historical_best_position,external_backlinks_if_known,visa_rule_specific_to_nationality,unique_search_intent,recommended_action,target_url,reason
ru,www2/ru/france-visa-for-argentinian-citizens.html,/ru/france-visa-for-argentinian-citizens,france,argentinian,yes,https://www.evisa-card.com/ru/france-visa-for-argentinian-citizens,386,0.4757,0.5243,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 47.6%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-australian-citizens.html,/ru/france-visa-for-australian-citizens,france,australian,yes,https://www.evisa-card.com/ru/france-visa-for-australian-citizens,379,0.4805,0.5195,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 48.0%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-bangladeshi-citizens.html,/ru/france-visa-for-bangladeshi-citizens,france,bangladeshi,yes,https://www.evisa-card.com/ru/france-visa-for-bangladeshi-citizens,273,0.3971,0.6029,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-brazilian-citizens.html,/ru/france-visa-for-brazilian-citizens,france,brazilian,yes,https://www.evisa-card.com/ru/france-visa-for-brazilian-citizens,374,0.4684,0.5316,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 46.8%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-canadian-citizens.html,/ru/france-visa-for-canadian-citizens,france,canadian,yes,https://www.evisa-card.com/ru/france-visa-for-canadian-citizens,388,0.4898,0.5102,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 49.0%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-chinese-citizens.html,/ru/france-visa-for-chinese-citizens,france,chinese,yes,https://www.evisa-card.com/ru/france-visa-for-chinese-citizens,283,0.4028,0.5972,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-indian-citizens.html,/ru/france-visa-for-indian-citizens,france,indian,yes,https://www.evisa-card.com/ru/france-visa-for-indian-citizens,418,0.4686,0.5314,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-indonesian-citizens.html,/ru/france-visa-for-indonesian-citizens,france,indonesian,yes,https://www.evisa-card.com/ru/france-visa-for-indonesian-citizens,389,0.4604,0.5396,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-japanese-citizens.html,/ru/france-visa-for-japanese-citizens,france,japanese,yes,https://www.evisa-card.com/ru/france-visa-for-japanese-citizens,269,0.3942,0.6058,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 39.4%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-korean-citizens.html,/ru/france-visa-for-korean-citizens,france,korean,yes,https://www.evisa-card.com/ru/france-visa-for-korean-citizens,376,0.4672,0.5328,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 46.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-mexican-citizens.html,/ru/france-visa-for-mexican-citizens,france,mexican,yes,https://www.evisa-card.com/ru/france-visa-for-mexican-citizens,380,0.4819,0.5181,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 48.2%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-nigerian-citizens.html,/ru/france-visa-for-nigerian-citizens,france,nigerian,yes,https://www.evisa-card.com/ru/france-visa-for-nigerian-citizens,289,0.4055,0.5945,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-pakistani-citizens.html,/ru/france-visa-for-pakistani-citizens,france,pakistani,yes,https://www.evisa-card.com/ru/france-visa-for-pakistani-citizens,282,0.3993,0.6007,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-philippine-citizens.html,/ru/france-visa-for-philippine-citizens,france,philippine,yes,https://www.evisa-card.com/ru/france-visa-for-philippine-citizens,392,0.438,0.562,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-russian-citizens.html,/ru/france-visa-for-russian-citizens,france,russian,yes,https://www.evisa-card.com/ru/france-visa-for-russian-citizens,273,0.3949,0.6051,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-singaporean-citizens.html,/ru/france-visa-for-singaporean-citizens,france,singaporean,yes,https://www.evisa-card.com/ru/france-visa-for-singaporean-citizens,389,0.481,0.519,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 48.1%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-south-african-citizens.html,/ru/france-visa-for-south-african-citizens,france,south-african,yes,https://www.evisa-card.com/ru/france-visa-for-south-african-citizens,393,0.4584,0.5416,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-turkish-citizens.html,/ru/france-visa-for-turkish-citizens,france,turkish,yes,https://www.evisa-card.com/ru/france-visa-for-turkish-citizens,402,0.4478,0.5522,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (evisa|visa_req) different du regime majoritaire (visa_free|evisa|etias)
ru,www2/ru/france-visa-for-uk-citizens.html,/ru/france-visa-for-uk-citizens,france,uk,yes,https://www.evisa-card.com/ru/france-visa-for-uk-citizens,379,0.4752,0.5248,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 47.5%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/france-visa-for-us-citizens.html,/ru/france-visa-for-us-citizens,france,us,yes,https://www.evisa-card.com/ru/france-visa-for-us-citizens,284,0.4042,0.5958,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 40.4%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-argentinian-citizens.html,/ru/germany-visa-for-argentinian-citizens,germany,argentinian,yes,https://www.evisa-card.com/ru/germany-visa-for-argentinian-citizens,214,0.3581,0.6419,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 35.8%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-australian-citizens.html,/ru/germany-visa-for-australian-citizens,germany,australian,yes,https://www.evisa-card.com/ru/germany-visa-for-australian-citizens,348,0.4574,0.5426,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-brazilian-citizens.html,/ru/germany-visa-for-brazilian-citizens,germany,brazilian,yes,https://www.evisa-card.com/ru/germany-visa-for-brazilian-citizens,348,0.4574,0.5426,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-canadian-citizens.html,/ru/germany-visa-for-canadian-citizens,germany,canadian,yes,https://www.evisa-card.com/ru/germany-visa-for-canadian-citizens,347,0.4587,0.5413,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.9%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-chinese-citizens.html,/ru/germany-visa-for-chinese-citizens,germany,chinese,yes,https://www.evisa-card.com/ru/germany-visa-for-chinese-citizens,384,0.5474,0.4526,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-french-citizens.html,/ru/germany-visa-for-french-citizens,germany,french,yes,https://www.evisa-card.com/ru/germany-visa-for-french-citizens,215,0.3611,0.6389,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 36.1%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-german-citizens.html,/ru/germany-visa-for-german-citizens,germany,german,yes,https://www.evisa-card.com/ru/germany-visa-for-german-citizens,164,0.3457,0.6543,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 34.6%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-indian-citizens.html,/ru/germany-visa-for-indian-citizens,germany,indian,yes,https://www.evisa-card.com/ru/germany-visa-for-indian-citizens,384,0.5474,0.4526,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-indonesian-citizens.html,/ru/germany-visa-for-indonesian-citizens,germany,indonesian,yes,https://www.evisa-card.com/ru/germany-visa-for-indonesian-citizens,384,0.55,0.45,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-japanese-citizens.html,/ru/germany-visa-for-japanese-citizens,germany,japanese,yes,https://www.evisa-card.com/ru/germany-visa-for-japanese-citizens,348,0.4574,0.5426,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-korean-citizens.html,/ru/germany-visa-for-korean-citizens,germany,korean,yes,https://www.evisa-card.com/ru/germany-visa-for-korean-citizens,348,0.4574,0.5426,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-mexican-citizens.html,/ru/germany-visa-for-mexican-citizens,germany,mexican,yes,https://www.evisa-card.com/ru/germany-visa-for-mexican-citizens,215,0.3611,0.6389,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 36.1%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-nigerian-citizens.html,/ru/germany-visa-for-nigerian-citizens,germany,nigerian,yes,https://www.evisa-card.com/ru/germany-visa-for-nigerian-citizens,384,0.5447,0.4553,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-philippine-citizens.html,/ru/germany-visa-for-philippine-citizens,germany,philippine,yes,https://www.evisa-card.com/ru/germany-visa-for-philippine-citizens,385,0.5486,0.4514,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-russian-citizens.html,/ru/germany-visa-for-russian-citizens,germany,russian,yes,https://www.evisa-card.com/ru/germany-visa-for-russian-citizens,384,0.5474,0.4526,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-singaporean-citizens.html,/ru/germany-visa-for-singaporean-citizens,germany,singaporean,yes,https://www.evisa-card.com/ru/germany-visa-for-singaporean-citizens,348,0.4574,0.5426,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-south-african-citizens.html,/ru/germany-visa-for-south-african-citizens,germany,south-african,yes,https://www.evisa-card.com/ru/germany-visa-for-south-african-citizens,386,0.5497,0.4503,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-turkish-citizens.html,/ru/germany-visa-for-turkish-citizens,germany,turkish,yes,https://www.evisa-card.com/ru/germany-visa-for-turkish-citizens,385,0.5486,0.4514,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_req) different du regime majoritaire (etias)
ru,www2/ru/germany-visa-for-uk-citizens.html,/ru/germany-visa-for-uk-citizens,germany,uk,yes,https://www.evisa-card.com/ru/germany-visa-for-uk-citizens,348,0.4574,0.5426,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/germany-visa-for-us-citizens.html,/ru/germany-visa-for-us-citizens,germany,us,yes,https://www.evisa-card.com/ru/germany-visa-for-us-citizens,348,0.4574,0.5426,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 45.7%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/greece-visa-for-argentinian-citizens.html,/ru/greece-visa-for-argentinian-citizens,greece,argentinian,yes,https://www.evisa-card.com/ru/greece-visa-for-argentinian-citizens,301,0.4224,0.5776,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 42.2%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/greece-visa-for-australian-citizens.html,/ru/greece-visa-for-australian-citizens,greece,australian,yes,https://www.evisa-card.com/ru/greece-visa-for-australian-citizens,425,0.4744,0.5256,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 47.4%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/greece-visa-for-brazilian-citizens.html,/ru/greece-visa-for-brazilian-citizens,greece,brazilian,yes,https://www.evisa-card.com/ru/greece-visa-for-brazilian-citizens,301,0.4257,0.5743,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 42.6%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/greece-visa-for-canadian-citizens.html,/ru/greece-visa-for-canadian-citizens,greece,canadian,yes,https://www.evisa-card.com/ru/greece-visa-for-canadian-citizens,302,0.4243,0.5757,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 42.4%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/greece-visa-for-chinese-citizens.html,/ru/greece-visa-for-chinese-citizens,greece,chinese,yes,https://www.evisa-card.com/ru/greece-visa-for-chinese-citizens,441,0.5612,0.4388,0,0,0.0,,no,no,HUMAN_REVIEW,,"Unicite 56.1%, 0 impressions : non tranchable automatiquement"
ru,www2/ru/greece-visa-for-french-citizens.html,/ru/greece-visa-for-french-citizens,greece,french,yes,https://www.evisa-card.com/ru/greece-visa-for-french-citizens,324,0.5263,0.4737,0,0,0.0,,yes,yes,KEEP_REWRITE,,Regime propre a la nationalite (visa_free|evisa|etias) different du regime majoritaire (evisa|etias)
